model	reference_model	pruned_atom_pairs	pruned_rmsd_to_reference	all_atom_pairs	all_pair_rmsd_to_reference	source_file	comparison	hypothesis	seed	system	nt	nt_numeric	dna_type	modifier	modifier_plot	system_short	hypothesis_short	group_short	hypothesis_short_plot
4	gpa_ssDNA_30nt_seed5_model_0	456	0.755	513	5.614	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	2	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s2-m4	A-dsDNA
0	gpa_ssDNA_30nt_seed5_model_0	389	0.818	513	5.601	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	3	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s3-m0	A-dsDNA
1	gpa_ssDNA_30nt_seed5_model_0	409	0.88	513	4.999	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	3	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s3-m1	A-dsDNA
2	gpa_ssDNA_30nt_seed5_model_0	387	0.74	513	5.5	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	3	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s3-m2	A-dsDNA
3	gpa_ssDNA_30nt_seed5_model_0	394	0.848	513	5.612	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	3	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s3-m3	A-dsDNA
4	gpa_ssDNA_30nt_seed5_model_0	430	0.849	513	5.003	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	3	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s3-m4	A-dsDNA
0	gpa_ssDNA_30nt_seed5_model_0	420	0.935	513	4.88	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	4	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s4-m0	A-dsDNA
1	gpa_ssDNA_30nt_seed5_model_0	403	0.947	513	2.576	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	4	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s4-m1	A-dsDNA
2	gpa_ssDNA_30nt_seed5_model_0	441	0.914	513	5.45	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	4	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s4-m2	A-dsDNA
3	gpa_ssDNA_30nt_seed5_model_0	416	0.857	513	5.69	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	4	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s4-m3	A-dsDNA
4	gpa_ssDNA_30nt_seed5_model_0	402	0.895	513	5.597	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	4	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s4-m4	A-dsDNA
0	gpa_ssDNA_30nt_seed5_model_0	453	0.788	513	3.28	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	5	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s5-m0	A-dsDNA
