model	reference_model	pruned_atom_pairs	pruned_rmsd_to_reference	all_atom_pairs	all_pair_rmsd_to_reference	source_file	comparison	hypothesis	seed	system	nt	nt_numeric	dna_type	modifier	modifier_plot	system_short	hypothesis_short	group_short	hypothesis_short_plot
0	gpa_ssDNA_30nt_seed5_model_0	362	0.853	513	5.347	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	4	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s4-m0	A-C
1	gpa_ssDNA_30nt_seed5_model_0	371	0.758	513	5.726	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	4	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s4-m1	A-C
2	gpa_ssDNA_30nt_seed5_model_0	365	0.659	513	4.957	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	4	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s4-m2	A-C
3	gpa_ssDNA_30nt_seed5_model_0	393	0.81	513	5.101	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	4	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s4-m3	A-C
4	gpa_ssDNA_30nt_seed5_model_0	434	0.824	513	5.469	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	4	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s4-m4	A-C
0	gpa_ssDNA_30nt_seed5_model_0	453	0.699	513	5.993	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	5	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s5-m0	A-C
1	gpa_ssDNA_30nt_seed5_model_0	405	0.795	513	6.046	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	5	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s5-m1	A-C
2	gpa_ssDNA_30nt_seed5_model_0	445	0.866	513	4.665	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	5	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s5-m2	A-C
3	gpa_ssDNA_30nt_seed5_model_0	456	0.88	513	4.626	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	5	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s5-m3	A-C
4	gpa_ssDNA_30nt_seed5_model_0	458	0.751	513	4.311	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	5	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s5-m4	A-C
0	gpa_ssDNA_30nt_seed5_model_0	431	0.788	513	5.485	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	6	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s6-m0	A-C
1	gpa_ssDNA_30nt_seed5_model_0	434	0.67	513	5.408	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	6	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s6-m1	A-C
2	gpa_ssDNA_30nt_seed5_model_0	442	0.522	513	4.955	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	6	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s6-m2	A-C
3	gpa_ssDNA_30nt_seed5_model_0	438	0.687	513	5.079	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	6	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s6-m3	A-C
4	gpa_ssDNA_30nt_seed5_model_0	450	0.676	513	2.988	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	6	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s6-m4	A-C
0	gpa_ssDNA_30nt_seed5_model_0	313	0.676	513	6.934	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	7	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s7-m0	A-C
1	gpa_ssDNA_30nt_seed5_model_0	333	0.692	513	6.949	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	7	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s7-m1	A-C
2	gpa_ssDNA_30nt_seed5_model_0	360	0.62	513	6.526	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	7	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s7-m2	A-C
3	gpa_ssDNA_30nt_seed5_model_0	360	0.703	513	6.674	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	7	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s7-m3	A-C
4	gpa_ssDNA_30nt_seed5_model_0	368	0.801	513	4.782	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	7	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s7-m4	A-C
0	gpa_ssDNA_30nt_seed5_model_0	374	0.59	513	3.397	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	8	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s8-m0	A-C
1	gpa_ssDNA_30nt_seed5_model_0	367	0.705	513	4.987	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	8	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s8-m1	A-C
2	gpa_ssDNA_30nt_seed5_model_0	366	0.741	513	5.237	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	8	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s8-m2	A-C
3	gpa_ssDNA_30nt_seed5_model_0	364	0.663	513	3.39	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	8	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s8-m3	A-C
4	gpa_ssDNA_30nt_seed5_model_0	392	0.721	513	5.075	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	8	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s8-m4	A-C
0	gpa_ssDNA_30nt_seed5_model_0	379	0.685	513	5.482	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	9	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s9-m0	A-C
1	gpa_ssDNA_30nt_seed5_model_0	382	0.664	513	3.401	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	9	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s9-m1	A-C
2	gpa_ssDNA_30nt_seed5_model_0	370	0.671	513	5.778	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	9	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s9-m2	A-C
3	gpa_ssDNA_30nt_seed5_model_0	378	0.74	513	3.33	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	9	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s9-m3	A-C
4	gpa_ssDNA_30nt_seed5_model_0	367	0.631	513	5.484	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	9	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s9-m4	A-C
0	gpa_ssDNA_30nt_seed5_model_0	309	0.997	513	6.157	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_ssDNA_30nt_2rep_gpc	1	gpa	30nt	30	ssDNA	2rep_gpc	+ 2Rep + C	A	A-ssDNA-2rep_gpc	A-ssDNA-2rep_gpc-s1-m0	A-C-DNA-Rep
1	gpa_ssDNA_30nt_seed5_model_0	251	0.758	513	7.79	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_ssDNA_30nt_2rep_gpc	1	gpa	30nt	30	ssDNA	2rep_gpc	+ 2Rep + C	A	A-ssDNA-2rep_gpc	A-ssDNA-2rep_gpc-s1-m1	A-C-DNA-Rep
2	gpa_ssDNA_30nt_seed5_model_0	320	1.161	513	6.452	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_ssDNA_30nt_2rep_gpc	1	gpa	30nt	30	ssDNA	2rep_gpc	+ 2Rep + C	A	A-ssDNA-2rep_gpc	A-ssDNA-2rep_gpc-s1-m2	A-C-DNA-Rep
3	gpa_ssDNA_30nt_seed5_model_0	329	1.111	513	6.367	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_ssDNA_30nt_2rep_gpc	1	gpa	30nt	30	ssDNA	2rep_gpc	+ 2Rep + C	A	A-ssDNA-2rep_gpc	A-ssDNA-2rep_gpc-s1-m3	A-C-DNA-Rep
4	gpa_ssDNA_30nt_seed5_model_0	297	0.78	513	7.157	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_ssDNA_30nt_2rep_gpc	1	gpa	30nt	30	ssDNA	2rep_gpc	+ 2Rep + C	A	A-ssDNA-2rep_gpc	A-ssDNA-2rep_gpc-s1-m4	A-C-DNA-Rep
0	gpa_ssDNA_30nt_seed5_model_0	439	0.862	513	5.238	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_ssDNA_30nt_2rep_gpc	10	gpa	30nt	30	ssDNA	2rep_gpc	+ 2Rep + C	A	A-ssDNA-2rep_gpc	A-ssDNA-2rep_gpc-s10-m0	A-C-DNA-Rep
1	gpa_ssDNA_30nt_seed5_model_0	386	1.011	513	5.822	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_ssDNA_30nt_2rep_gpc	10	gpa	30nt	30	ssDNA	2rep_gpc	+ 2Rep + C	A	A-ssDNA-2rep_gpc	A-ssDNA-2rep_gpc-s10-m1	A-C-DNA-Rep
2	gpa_ssDNA_30nt_seed5_model_0	423	1.05	513	6.113	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_ssDNA_30nt_2rep_gpc	10	gpa	30nt	30	ssDNA	2rep_gpc	+ 2Rep + C	A	A-ssDNA-2rep_gpc	A-ssDNA-2rep_gpc-s10-m2	A-C-DNA-Rep
3	gpa_ssDNA_30nt_seed5_model_0	362	0.852	513	6.295	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_ssDNA_30nt_2rep_gpc	10	gpa	30nt	30	ssDNA	2rep_gpc	+ 2Rep + C	A	A-ssDNA-2rep_gpc	A-ssDNA-2rep_gpc-s10-m3	A-C-DNA-Rep
4	gpa_ssDNA_30nt_seed5_model_0	317	0.748	513	6.472	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_ssDNA_30nt_2rep_gpc	10	gpa	30nt	30	ssDNA	2rep_gpc	+ 2Rep + C	A	A-ssDNA-2rep_gpc	A-ssDNA-2rep_gpc-s10-m4	A-C-DNA-Rep
0	gpa_ssDNA_30nt_seed5_model_0	151	0.61	513	31.844	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_ssDNA_30nt_2rep_gpc	2	gpa	30nt	30	ssDNA	2rep_gpc	+ 2Rep + C	A	A-ssDNA-2rep_gpc	A-ssDNA-2rep_gpc-s2-m0	A-C-DNA-Rep
1	gpa_ssDNA_30nt_seed5_model_0	101	1.066	513	22.219	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_ssDNA_30nt_2rep_gpc	2	gpa	30nt	30	ssDNA	2rep_gpc	+ 2Rep + C	A	A-ssDNA-2rep_gpc	A-ssDNA-2rep_gpc-s2-m1	A-C-DNA-Rep
2	gpa_ssDNA_30nt_seed5_model_0	185	0.563	513	31.845	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_ssDNA_30nt_2rep_gpc	2	gpa	30nt	30	ssDNA	2rep_gpc	+ 2Rep + C	A	A-ssDNA-2rep_gpc	A-ssDNA-2rep_gpc-s2-m2	A-C-DNA-Rep
3	gpa_ssDNA_30nt_seed5_model_0	11	1.453	513	24.861	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_ssDNA_30nt_2rep_gpc	2	gpa	30nt	30	ssDNA	2rep_gpc	+ 2Rep + C	A	A-ssDNA-2rep_gpc	A-ssDNA-2rep_gpc-s2-m3	A-C-DNA-Rep
4	gpa_ssDNA_30nt_seed5_model_0	8	1.245	513	32.549	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_ssDNA_30nt_2rep_gpc	2	gpa	30nt	30	ssDNA	2rep_gpc	+ 2Rep + C	A	A-ssDNA-2rep_gpc	A-ssDNA-2rep_gpc-s2-m4	A-C-DNA-Rep
0	gpa_ssDNA_30nt_seed5_model_0	361	0.713	513	4.719	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_ssDNA_30nt_2rep_gpc	3	gpa	30nt	30	ssDNA	2rep_gpc	+ 2Rep + C	A	A-ssDNA-2rep_gpc	A-ssDNA-2rep_gpc-s3-m0	A-C-DNA-Rep
1	gpa_ssDNA_30nt_seed5_model_0	410	0.819	513	5.167	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_ssDNA_30nt_2rep_gpc	3	gpa	30nt	30	ssDNA	2rep_gpc	+ 2Rep + C	A	A-ssDNA-2rep_gpc	A-ssDNA-2rep_gpc-s3-m1	A-C-DNA-Rep
2	gpa_ssDNA_30nt_seed5_model_0	387	0.812	513	5.059	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_ssDNA_30nt_2rep_gpc	3	gpa	30nt	30	ssDNA	2rep_gpc	+ 2Rep + C	A	A-ssDNA-2rep_gpc	A-ssDNA-2rep_gpc-s3-m2	A-C-DNA-Rep
3	gpa_ssDNA_30nt_seed5_model_0	404	0.736	513	6.363	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_ssDNA_30nt_2rep_gpc	3	gpa	30nt	30	ssDNA	2rep_gpc	+ 2Rep + C	A	A-ssDNA-2rep_gpc	A-ssDNA-2rep_gpc-s3-m3	A-C-DNA-Rep
4	gpa_ssDNA_30nt_seed5_model_0	414	0.814	513	5.745	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_ssDNA_30nt_2rep_gpc	3	gpa	30nt	30	ssDNA	2rep_gpc	+ 2Rep + C	A	A-ssDNA-2rep_gpc	A-ssDNA-2rep_gpc-s3-m4	A-C-DNA-Rep
0	gpa_ssDNA_30nt_seed5_model_0	298	0.733	513	5.929	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_ssDNA_30nt_2rep_gpc	4	gpa	30nt	30	ssDNA	2rep_gpc	+ 2Rep + C	A	A-ssDNA-2rep_gpc	A-ssDNA-2rep_gpc-s4-m0	A-C-DNA-Rep
1	gpa_ssDNA_30nt_seed5_model_0	362	1.014	513	4.437	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_ssDNA_30nt_2rep_gpc	4	gpa	30nt	30	ssDNA	2rep_gpc	+ 2Rep + C	A	A-ssDNA-2rep_gpc	A-ssDNA-2rep_gpc-s4-m1	A-C-DNA-Rep
2	gpa_ssDNA_30nt_seed5_model_0	309	0.637	513	5.863	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_ssDNA_30nt_2rep_gpc	4	gpa	30nt	30	ssDNA	2rep_gpc	+ 2Rep + C	A	A-ssDNA-2rep_gpc	A-ssDNA-2rep_gpc-s4-m2	A-C-DNA-Rep
3	gpa_ssDNA_30nt_seed5_model_0	392	0.892	513	4.984	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_ssDNA_30nt_2rep_gpc	4	gpa	30nt	30	ssDNA	2rep_gpc	+ 2Rep + C	A	A-ssDNA-2rep_gpc	A-ssDNA-2rep_gpc-s4-m3	A-C-DNA-Rep
4	gpa_ssDNA_30nt_seed5_model_0	342	0.772	513	5.038	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_ssDNA_30nt_2rep_gpc	4	gpa	30nt	30	ssDNA	2rep_gpc	+ 2Rep + C	A	A-ssDNA-2rep_gpc	A-ssDNA-2rep_gpc-s4-m4	A-C-DNA-Rep
0	gpa_ssDNA_30nt_seed5_model_0	265	0.687	513	16.63	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_ssDNA_30nt_2rep_gpc	5	gpa	30nt	30	ssDNA	2rep_gpc	+ 2Rep + C	A	A-ssDNA-2rep_gpc	A-ssDNA-2rep_gpc-s5-m0	A-C-DNA-Rep
1	gpa_ssDNA_30nt_seed5_model_0	268	0.575	513	31.235	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_ssDNA_30nt_2rep_gpc	5	gpa	30nt	30	ssDNA	2rep_gpc	+ 2Rep + C	A	A-ssDNA-2rep_gpc	A-ssDNA-2rep_gpc-s5-m1	A-C-DNA-Rep
2	gpa_ssDNA_30nt_seed5_model_0	258	0.648	513	22.398	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_ssDNA_30nt_2rep_gpc	5	gpa	30nt	30	ssDNA	2rep_gpc	+ 2Rep + C	A	A-ssDNA-2rep_gpc	A-ssDNA-2rep_gpc-s5-m2	A-C-DNA-Rep
3	gpa_ssDNA_30nt_seed5_model_0	274	0.762	513	22.315	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_ssDNA_30nt_2rep_gpc	5	gpa	30nt	30	ssDNA	2rep_gpc	+ 2Rep + C	A	A-ssDNA-2rep_gpc	A-ssDNA-2rep_gpc-s5-m3	A-C-DNA-Rep
4	gpa_ssDNA_30nt_seed5_model_0	276	0.797	513	24.461	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_ssDNA_30nt_2rep_gpc	5	gpa	30nt	30	ssDNA	2rep_gpc	+ 2Rep + C	A	A-ssDNA-2rep_gpc	A-ssDNA-2rep_gpc-s5-m4	A-C-DNA-Rep
0	gpa_ssDNA_30nt_seed5_model_0	176	0.539	513	40.723	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_ssDNA_30nt_2rep_gpc	6	gpa	30nt	30	ssDNA	2rep_gpc	+ 2Rep + C	A	A-ssDNA-2rep_gpc	A-ssDNA-2rep_gpc-s6-m0	A-C-DNA-Rep
1	gpa_ssDNA_30nt_seed5_model_0	195	0.727	513	23.491	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_ssDNA_30nt_2rep_gpc	6	gpa	30nt	30	ssDNA	2rep_gpc	+ 2Rep + C	A	A-ssDNA-2rep_gpc	A-ssDNA-2rep_gpc-s6-m1	A-C-DNA-Rep
2	gpa_ssDNA_30nt_seed5_model_0	203	0.567	513	34.123	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_ssDNA_30nt_2rep_gpc	6	gpa	30nt	30	ssDNA	2rep_gpc	+ 2Rep + C	A	A-ssDNA-2rep_gpc	A-ssDNA-2rep_gpc-s6-m2	A-C-DNA-Rep
3	gpa_ssDNA_30nt_seed5_model_0	146	0.667	513	16.825	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_ssDNA_30nt_2rep_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_ssDNA_30nt_2rep_gpc	6	gpa	30nt	30	ssDNA	2rep_gpc	+ 2Rep + C	A	A-ssDNA-2rep_gpc	A-ssDNA-2rep_gpc-s6-m3	A-C-DNA-Rep
