group	n_total_A_mut_interact_DNA	a_exposed_outcome_A_mut_interact_DNA	b_exposed_no_outcome_A_mut_interact_DNA	c_unexp_outcome_A_mut_interact_DNA	d_unexp_no_outcome_A_mut_interact_DNA	odds_ratio_A_mut_interact_DNA	conf_low_A_mut_interact_DNA	conf_high_A_mut_interact_DNA	log_or_ln_A_mut_interact_DNA	log_or_log10_A_mut_interact_DNA	log_conf_low_ln_A_mut_interact_DNA	log_conf_high_ln_A_mut_interact_DNA	log_conf_low_log10_A_mut_interact_DNA	log_conf_high_log10_A_mut_interact_DNA	p_value_A_mut_interact_DNA	p_value_adj_BH_A_mut_interact_DNA	hypothesis	seed	model	system	nt	nt_numeric	dna_type	modifier	modifier_plot	system_short	hypothesis_short	group_short	hypothesis_short_plot	iptm	ptm	ranking_score	has_clash	fraction_disordered	num_recycles	pTM_A	pTM_DNA	pTM_MG	pTM_C	pTM_rep	ipTM_A	ipTM_DNA	ipTM_MG	ipTM_C	ipTM_rep	ipTM_A_DNA	ipTM_A_MG	ipTM_DNA_MG	ipTM_A_C	ipTM_C_MG	ipTM_A_rep	ipTM_C_DNA	ipTM_C_rep	ipTM_DNA_rep	ipTM_MG_rep	ipSAE_A_DNA	ipSAE_d0chn_A_DNA	ipSAE_d0dom_A_DNA	ipTM_af_ipSAE_15_A_DNA	ipTM_d0chn_ipSAE_15_A_DNA	pDockQ_ipSAE_15_A_DNA	pDockQ2_ipSAE_15_A_DNA	LIS_ipSAE_15_A_DNA	ipSAE_A_C	ipSAE_d0chn_A_C	ipSAE_d0dom_A_C	ipTM_af_ipSAE_15_A_C	ipTM_d0chn_ipSAE_15_A_C	pDockQ_ipSAE_15_A_C	pDockQ2_ipSAE_15_A_C	LIS_ipSAE_15_A_C	ipSAE_A_rep	ipSAE_d0chn_A_rep	ipSAE_d0dom_A_rep	ipTM_af_ipSAE_15_A_rep	ipTM_d0chn_ipSAE_15_A_rep	pDockQ_ipSAE_15_A_rep	pDockQ2_ipSAE_15_A_rep	LIS_ipSAE_15_A_rep	ipSAE_C_DNA	ipSAE_d0chn_C_DNA	ipSAE_d0dom_C_DNA	ipTM_af_ipSAE_15_C_DNA	ipTM_d0chn_ipSAE_15_C_DNA	pDockQ_ipSAE_15_C_DNA	pDockQ2_ipSAE_15_C_DNA	LIS_ipSAE_15_C_DNA	ipSAE_C_rep	ipSAE_d0chn_C_rep	ipSAE_d0dom_C_rep	ipTM_af_ipSAE_15_C_rep	ipTM_d0chn_ipSAE_15_C_rep	pDockQ_ipSAE_15_C_rep	pDockQ2_ipSAE_15_C_rep	LIS_ipSAE_15_C_rep	ipSAE_DNA_rep	ipSAE_d0chn_DNA_rep	ipSAE_d0dom_DNA_rep	ipTM_af_ipSAE_15_DNA_rep	ipTM_d0chn_ipSAE_15_DNA_rep	pDockQ_ipSAE_15_DNA_rep	pDockQ2_ipSAE_15_DNA_rep	LIS_ipSAE_15_DNA_rep
gpa_dsDNA_30nt_seed3_model_2	4832	278	607	867	3080	1.6267920302437324	1.3797165322367313	1.9154821346862114	0.4866099960001642	0.21133203610183476	0.3218780666466391	0.6499693584046635	0.1397898681903225	0.2822781057613423	5.466503966063181e-9	7.677674109639299e-9	gpa_dsDNA_30nt	3	2	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s3-m2	A-dsDNA	0.65	0.84	0.71	0	0.05	10	0.86	0.20500000000000002	NA	NA	NA	0.7	0.37	0.36	NA	NA	0.64	0.84	0.12	NA	NA	NA	NA	NA	NA	NA	0.481569	0.650324	0.628833	0.84	0.557974	0.2555	0.2368	0.324	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed3_model_3	4832	299	589	846	3098	1.858739728892123	1.580097269295103	2.183987179434788	0.6198986929623662	0.26921858169259383	0.4574864079889631	0.7811521876432621	0.19868382253534644	0.3392500846201223	6.055434239975375e-14	1.1735337674370883e-13	gpa_dsDNA_30nt	3	3	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s3-m3	A-dsDNA	0.62	0.82	0.69	0	0.06	10	0.84	0.2	NA	NA	NA	0.68	0.355	0.36	NA	NA	0.61	0.84	0.11	NA	NA	NA	NA	NA	NA	NA	0.472712	0.667059	0.64812	0.84	0.516128	0.2405	0.126	0.3222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed3_model_4	4832	302	544	843	3143	2.0694484284715364	1.7570128095010837	2.4349156217362324	0.7272821120950046	0.3158546080698027	0.5636150997310784	0.8899121036697686	0.2447749277305583	0.3864839160026951	3.1544756102591192e-18	7.510656214902664e-18	gpa_dsDNA_30nt	3	4	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s3-m4	A-dsDNA	0.61	0.82	0.68	0	0.07	10	0.84	0.195	NA	NA	NA	0.68	0.345	0.35	NA	NA	0.6	0.83	0.11	NA	NA	NA	NA	NA	NA	NA	0.43105	0.672653	0.65569	0.83	0.521062	0.2715	0.1371	0.321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed4_model_0	4832	271	536	874	3151	1.8226338017006067	1.5402263638878686	2.15382405996231	0.6002825987767892	0.26069942023130327	0.4319293951612112	0.767244894786413	0.18758455289032316	0.3332102240741802	2.2601143813707466e-12	3.843731941106712e-12	gpa_dsDNA_30nt	4	0	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s4-m0	A-dsDNA	0.73	0.87	0.77	0	0.04	10	0.88	0.235	NA	NA	NA	0.78	0.435	0.41	NA	NA	0.73	0.89	0.17	NA	NA	NA	NA	NA	NA	NA	0.516622	0.653229	0.64023	0.89	0.643916	0.3147	0.2677	0.3324	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed4_model_1	4832	280	557	865	3130	1.818817001959025	1.5403580627858673	2.144737353967718	0.5981862908242052	0.2597890052551261	0.4320148977021827	0.7630170991801977	0.1876216861720558	0.33137411577178605	1.7112633242301556e-12	2.9504540072933715e-12	gpa_dsDNA_30nt	4	1	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s4-m1	A-dsDNA	0.73	0.85	0.77	0	0.03	10	0.86	0.235	NA	NA	NA	0.77	0.435	0.4	NA	NA	0.74	0.87	0.17	NA	NA	NA	NA	NA	NA	NA	0.546992	0.659466	0.6472	0.87	0.654302	0.2855	0.2853	0.341	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed4_model_2	4832	271	524	874	3163	1.871445274108055	1.5807040508847525	2.2126896650318493	0.6267110062078713	0.2721771317441131	0.4578703496136578	0.7942088185340095	0.1988505662643243	0.3449205073682214	2.98464368319149e-13	5.486477358807885e-13	gpa_dsDNA_30nt	4	2	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s4-m2	A-dsDNA	0.68	0.85	0.73	0	0.03	10	0.86	0.215	NA	NA	NA	0.73	0.395	0.37	NA	NA	0.68	0.85	0.13	NA	NA	NA	NA	NA	NA	NA	0.482609	0.622205	0.608101	0.85	0.577997	0.2587	0.1555	0.3046	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed4_model_3	4832	285	513	860	3174	2.0500646968543985	1.7344022641000276	2.4204579727290283	0.7178713520934982	0.3117675669306326	0.5506628376705642	0.8839567671933828	0.23914983178951216	0.38389754623312355	4.2675923240691596e-17	9.971010102965327e-17	gpa_dsDNA_30nt	4	3	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s4-m3	A-dsDNA	0.65	0.84	0.7	0	0.03	10	0.86	0.215	NA	NA	NA	0.7	0.38	0.36	NA	NA	0.64	0.84	0.13	NA	NA	NA	NA	NA	NA	NA	0.442855	0.614662	0.598638	0.84	0.533277	0.2305	0.1216	0.2942	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed4_model_4	4832	269	576	876	3111	1.6583074712912356	1.40308059616398	1.9572638161271014	0.505797486619575	0.21966505739941528	0.3386702450612516	0.6715474857295488	0.14708261861492358	0.2916493673883458	2.7618504409251327e-9	3.923083012677745e-9	gpa_dsDNA_30nt	4	4	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s4-m4	A-dsDNA	0.64	0.85	0.69	0	0.03	10	0.86	0.20500000000000002	NA	NA	NA	0.7	0.375	0.37	NA	NA	0.63	0.85	0.13	NA	NA	NA	NA	NA	NA	NA	0.474698	0.671118	0.656603	0.85	0.518585	0.261	0.1296	0.3178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed5_model_0	4832	301	586	844	3101	1.887019022178404	1.6043404165294033	2.216941536103253	0.6349983469812869	0.27577627811165933	0.4727127166832597	0.7961285595617216	0.20529652438103493	0.34575424030324003	1.472645328026569e-14	2.8762604063018923e-14	gpa_dsDNA_30nt	5	0	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s5-m0	A-dsDNA	0.77	0.87	0.8	0	0.03	10	0.87	0.245	NA	NA	NA	0.8	0.46499999999999997	0.41	NA	NA	0.77	0.87	0.19	NA	NA	NA	NA	NA	NA	NA	0.611743	0.706543	0.695275	0.87	0.706543	0.3975	0.3726	0.3835	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed5_model_1	4832	270	602	875	3085	1.5811385191855354	1.339129106752999	1.8641239040482391	0.4581451693074844	0.19896991894087152	0.29201948233946445	0.622791186183109	0.1268224497882735	0.270474775537305	5.745725622379204e-8	7.560165292604217e-8	gpa_dsDNA_30nt	5	1	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s5-m1	A-dsDNA	0.67	0.85	0.73	0	0.04	10	0.86	0.2	NA	NA	NA	0.72	0.38	0.35	NA	NA	0.67	0.84	0.1	NA	NA	NA	NA	NA	NA	NA	0.419432	0.621452	0.603906	0.84	0.580339	0.2819	0.1812	0.2822	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
