test_type	dataset	group	exposure_var	outcome_var	exposure_focus	outcome_focus	n_total	a_exposed_outcome	b_exposed_no_outcome	c_unexp_outcome	d_unexp_no_outcome	odds_ratio	conf_low	conf_high	log_or_ln	log_conf_low_ln	log_conf_high_ln	log_or_log10	log_conf_low_log10	log_conf_high_log10	p_value	method
fisher_odds_ratio	NA	C-terminal	wt_hydro_property	mutation_category_FDR_1aa	hydrophobic	Detrimental	1143	371	198	294	280	1.7836250565662999	1.3970020365782556	2.279952148900896	0.5786478419828353	0.3343285380964218	0.8241544554219439	0.2513035647383702	0.14519703923805713	0.3579257322257298	2.0797886110001582e-6	Fisher's Exact Test for Count Data
fisher_odds_ratio	NA	C-terminal	wt_hydro_property	mutation_category_FDR_1aa	hydrophilic	Detrimental	1143	294	280	371	198	0.5606559497011773	0.4386056963880024	0.7158185699208772	-0.5786478419828405	-0.824154455421944	-0.3343285380964219	-0.2513035647383724	-0.3579257322257298	-0.14519703923805713	2.079788611000155e-6	Fisher's Exact Test for Count Data
fisher_odds_ratio	NA	Coiled-coil	wt_hydro_property	mutation_category_FDR_1aa	hydrophobic	Detrimental	2686	639	333	816	898	2.111173321988405	1.7886403179895014	2.49427171019575	0.7472438697063359	0.5814557323227041	0.9139967868713238	0.3245238892494942	0.25252301601876465	0.3969437610155185	9.357965214791351e-20	Fisher's Exact Test for Count Data
fisher_odds_ratio	NA	Coiled-coil	wt_hydro_property	mutation_category_FDR_1aa	hydrophilic	Detrimental	2686	816	898	639	333	0.4736702522643455	0.40091863124307336	0.5590838973841522	-0.7472438697063319	-0.9139967868713239	-0.5814557323227043	-0.32452388924949244	-0.39694376101551854	-0.25252301601876476	9.357965214791343e-20	Fisher's Exact Test for Count Data
fisher_odds_ratio	NA	N-terminal	wt_hydro_property	mutation_category_FDR_1aa	hydrophobic	Detrimental	2983	1249	669	531	534	1.8771296406891236	1.6070822021336688	2.193120537127203	0.6297438232475877	0.4744202379883043	0.7853254324155476	0.2734942674490841	0.20603809146154803	0.34106250179635744	6.228300208201159e-16	Fisher's Exact Test for Count Data
fisher_odds_ratio	NA	N-terminal	wt_hydro_property	mutation_category_FDR_1aa	hydrophilic	Detrimental	2983	531	534	1249	669	0.5327282561224082	0.45597128979965396	0.6222457063318437	-0.6297438232475883	-0.7853254324155469	-0.4744202379883047	-0.27349426744908434	-0.34106250179635716	-0.2060380914615482	6.228300208201186e-16	Fisher's Exact Test for Count Data
